ID,Area,Feature,User Story,Expected Behaviour,Test Method,Test Result (initial),Errors Found,Fix Applied,Final Status
W1,Watchlist,Add single ticker,"As a trader, I want to type a ticker in the sidebar and add it, so it appears in my watchlist and loads.","Entering 'AAPL' + '+' (or Enter) POSTs /api/symbols, downloads data, adds to sidebar, and selects it. Empty input is ignored; duplicates show an info toast.",API harness (POST /api/symbols valid/empty/dupe); JS flow review,PASS,None (live Yahoo fetch blocked by env network policy — fetch path returns graceful error toast),—,PASS
W2,Watchlist,Add multiple tickers (auto-route to bulk),"As a trader, I want to paste several comma/space-separated tickers and have them imported together.",Input with >1 token routes to the Bulk Import modal pre-filled with the tickers.,JS flow review (addSymbol split logic),PASS,None,—,PASS
W3,Watchlist,Bulk import modal,"As a trader, I want to paste a list of tickers and import them with a progress bar.","Modal validates tickers (regex ^[A-Z][A-Z0-9.\-^]{0,9}$), dedupes, skips existing, shows per-ticker progress, summary toast, auto-closes on full success.",JS review; modal open/close/escape guards,PASS,None,—,PASS
W4,Watchlist,Remove ticker,"As a trader, I want to remove a ticker via the × button.","DELETE /api/symbols/<sym> removes symbol+OHLCV; if it was active, view returns to empty state.",API harness (DELETE); JS review,PASS,"showEmptyState() did not hide knn-area/backtest-area, so removing the active symbol while on KNN or Backtest tab left stale content overlapping the empty state.",app.js: showEmptyState() now hides knn-area and backtest-area too.,PASS
W5,Watchlist,Group tag assign / inline edit,"As a trader, I want to tag a ticker with a group name and edit it inline.",Clicking the tag badge opens an inline input; Enter/blur PUTs /api/symbols/<sym>/group; Escape cancels.,API harness (PUT group); JS review,PASS,None,—,PASS
W6,Watchlist,Group headers & sort order,"As a trader, I want my watchlist grouped by tag with headers.",Symbols sorted by group_tag (ungrouped last) then symbol; group headers render on group change.,API harness (list ordering) + JS render review,PASS,None,—,PASS
W7,Watchlist,Select ticker loads active tab,"As a trader, I want clicking a ticker to load it in whichever tab I'm viewing.",selectSymbol routes to charts/stats/knn/backtest(header only)/trend loaders based on active tab.,JS review,PASS,None,—,PASS
W8,Watchlist,Refresh All,"As a trader, I want to refresh all watchlist data at once.",POST /api/refresh fetches all symbols concurrently and reloads the active chart; per-symbol toasts.,Endpoint review (live fetch blocked by env),PASS,None (network-gated in this env),—,PASS
W9,Watchlist,Sidebar collapse toggle,"As a trader, I want to collapse the sidebar to widen the chart.",☰ toggles .sidebar-collapsed; button glyph switches ☰/▶.,JS review,PASS,None,—,PASS
W10,Watchlist,Market clock,"As a user, I want a live clock in the top bar.","Updates every second with date+time, 24h format.",JS review,PASS,None,—,PASS
C1,Charts,Daily + Weekly candlestick panels,"As a trader, I want side-by-side daily and weekly candlestick charts.",Both panels render candles from /api/ohlcv; cross-panel date range stays in sync.,API harness (ohlcv daily/weekly); JS review,PASS,None,—,PASS
C2,Charts,KAMA add period,"As a trader, I want to add a KAMA period (2–500) and see it on both panels.",Validates range; adds pill + live series; fetches indicators with new kama param.,API harness (indicators kama param + bad kama 400); JS review,PASS,None,—,PASS
C3,Charts,KAMA toggle visibility,"As a trader, I want to click a KAMA pill to show/hide that line.",Toggling updates overlay visibility on both panels and pill styling.,JS review,PASS,None,—,PASS
C4,Charts,KAMA remove (right-click),"As a trader, I want to right-click a KAMA pill to remove it.","Removes series from both charts, re-renders pills, re-fetches if a symbol is loaded.",JS review,PASS,None,—,PASS
C5,Charts,Bollinger Bands overlay toggle,"As a trader, I want to toggle Bollinger Bands.",Bol. Bands pill toggles upper/mid/lower visibility on both panels.,API harness (bb_* keys present); JS review,PASS,None,—,PASS
C6,Charts,RSI subchart (7/14/21),"As a trader, I want an RSI pane with 7/14/21 lines and OB/OS guides.",RSI lines render with 80/50/20 reference lines.,API harness (rsi_7/14/21 populated),PASS,None,—,PASS
C7,Charts,MACD subchart,"As a trader, I want a MACD pane (12/26/9) with histogram colored by sign.",macd_line/signal/hist render; histogram green/red by sign.,API harness (macd_* keys),PASS,None,—,PASS
C8,Charts,Trend Score histogram,"As a trader, I want a composite trend-score pane (-3..+3).",trend_score histogram renders colored by sign with a zero reference line.,API harness (trend_score populated),PASS,None,—,PASS
C9,Charts,Pan/zoom sync + resize,"As a trader, I want sub-charts and panels to stay aligned when I pan/zoom or resize.",Within-panel logical-range sync; cross-panel date sync; charts resize with container.,JS review + ResizeObserver lifecycle audit,PASS,ResizeObserver instances created on every chart rebuild were never disconnected; stale observers fired chart.resize() on disposed charts (console errors + observer leak across reloads).,"charts.js: track observers in _chartObservers, disconnect them in destroyCharts(), and guard resize() in try/catch with size>0 check.",PASS
C10,Charts,Auto-fetch on missing data,"As a trader, I want a symbol with no stored data to auto-download when I open its chart.","On 404/No data, the UI fetches then retries the chart load.",Endpoint 404 path verified; JS retry review,PASS,None (download itself network-gated in env),—,PASS
C11,Charts,Symbol header (price/change/OHLCV),"As a trader, I want the header to show last price, change, and OHLCV strip.","Header shows price, +/- change & %, and open/high/low/close/volume (volume humanized B/M).",JS review with seeded data,PASS,None,—,PASS
S1,Statistics,KPI cards,"As a trader, I want volatility, Sharpe, max drawdown, and win rate KPIs.",/api/stats metrics populate 4 KPI cards; flat series degrades gracefully (no crash).,API harness (stats AAPL + FLAT degenerate),PASS,None,—,PASS
S2,Statistics,RSI deciles vs 1D/5D fwd return,"As a quant, I want RSI-decile forward-return bar charts.",fwd_1d/fwd_5d decile arrays drive colored bar charts.,API harness (rsi_analysis non-empty),PASS,None,—,PASS
S3,Statistics,Returns distribution,"As a quant, I want a histogram of daily returns.",30-bin distribution renders.,API harness (distribution present),PASS,None,—,PASS
S4,Statistics,Seasonality,"As a quant, I want average monthly returns.",12-month seasonality bars colored by sign.,API harness (seasonality present),PASS,None,—,PASS
S5,Statistics,Price-vs-KAMA distance deciles,"As a quant, I want KAMA-distance decile forward-return charts for K10/20/50.",kama_distance_analysis fwd_1d/fwd_5d per period drives line charts (aligned to 10 deciles).,API harness + unit test test_compute_stats_builds_kama_analyses,PASS,None,—,PASS
S6,Statistics,KAMA cross fwd returns + counts,"As a quant, I want KAMA bull/bear cross forward returns and event counts.",6 cross rows (K10/20/50 × bull/bear) with fwd returns and counts.,API harness + unit test (len==6),PASS,None,—,PASS
K1,KNN Lookalike,Historical analog finder,"As a trader, I want the K=15 most similar historical states and their forward outcomes.","/api/knn returns current features, 15 neighbors with distances + fwd 1/5/20D, and win-rate/mean summaries.",API harness (15 neighbors; degenerate FLAT → 404 graceful),PASS,None,—,PASS
B1,Backtest,KAMA crossover optimizer,"As a trader, I want to optimize KAMA fast/slow crossovers and see the best equity curve.","Run Optimization tests FAST×SLOW (±trend filter); shows best KPIs, top-10 table, equity vs buy&hold curve.","API harness (48 combos, equity curve; FLAT → 404 graceful)",PASS,None,—,PASS
T1,Adaptive Trend,Baselines/bands/regime chart,"As a trader, I want SB/MB/LB baselines, MRT/SDB/MDB/LRT/LDB bands, and a regime strip.",/api/adaptive-trend returns all series; price chart draws lines + ratcheting bands; regime strip shows S/M/L states.,"API harness (all keys present, populated; FLAT no-crash)",PASS,None,—,PASS
T2,Adaptive Trend,Method KAMA / ADMA,"As a trader, I want to switch between KAMA and ADMA smoothing.",Method toggle re-requests with method=kama|adma; invalid method → 400.,API harness (adma weekly ok; bad method 400),PASS,None,—,PASS
T3,Adaptive Trend,Frequency Daily / Weekly,"As a trader, I want daily or weekly trend computation.",Freq toggle re-requests; invalid freq → 400.,API harness,PASS,None,—,PASS
T4,Adaptive Trend,Line visibility toggles,"As a trader, I want to toggle each baseline/band on the chart.",Each toggle shows/hides its series and updates the hover description strip.,JS review,PASS,None,—,PASS
T5,Adaptive Trend,Config panel + presets,"As a trader, I want to tune ER/slow/confirm/RSI params and apply presets.",Config inputs feed query params; Smoother/Default/Faster presets update and re-apply.,API harness (config params parsed); JS review,PASS,None,—,PASS
T6,Adaptive Trend,Signal summary panel,"As a trader, I want a composite signal, per-horizon states, entry, stop/TP levels, and R:R.","Composite (-3..+3) badge, strength dots, S/M/L cards, last entry, MRT/SDB/MDB, R:R (only when in a medium regime), date-alignment warning.",JS review with seeded data,PASS,None,—,PASS
T7,Adaptive Trend,Scan Watchlist sub-tab,"As a trader, I want to scan the whole watchlist for trend signal, RSI, KAMA distances, R:R, stop/target.",/api/trend-scan computes per-symbol metrics; sortable table; click symbol loads its chart.,"API harness (5 rows, signals); JS sort/render review",PASS,None,—,PASS
SC1,Scanner,Multi-timeframe heatmap table,"As a trader, I want D/W/M technical metrics (RSI, KAMA ratios, momentum, volatility, trend) per symbol.",/api/scanner computes per-symbol D/W/M metrics; color-coded heatmap cells.,API harness (5 rows; daily metrics populated; monthly via ME),PASS,Monthly resample used .agg(**agg) (pandas named-aggregation) which always raised TypeError on the 'ME' alias and silently fell back to the deprecated 'M' alias (FutureWarning spam; breaks on future pandas).,scanner.py _to_monthly: pass agg dict positionally (.agg(agg)) so 'ME' works cleanly.,PASS
SC2,Scanner,Metric-group visibility toggles,"As a trader, I want to show/hide RSI/KAMA/Momentum/Volatility/Trend column groups.",Group buttons toggle column visibility and re-render the table.,JS review,PASS,None,—,PASS
SC3,Scanner,Sortable columns,"As a trader, I want to sort by any metric and timeframe.",Clicking a header sorts asc/desc; nulls sink to bottom.,JS review,PASS,None,—,PASS
SC4,Scanner,Composite score column,"As a trader, I want a -5..+5 composite bull/bear score per symbol.",Weighted daily+weekly score computed and color-coded.,JS review,PASS,None,—,PASS
SC5,Scanner,Scan All / click-to-load,"As a trader, I want to (re)scan the watchlist and click a symbol to open its chart.",Scan All refreshes via /api/scanner; symbol cell click calls selectSymbol.,API harness + JS review,PASS,None,—,PASS
D1,Data Manager,Ticker library browser,"As a user, I want a categorized library of tickers to pick from.",/api/data-manager/ticker-lists renders 12 categories with collapsible chips.,API harness (12 categories),PASS,None,—,PASS
D2,Data Manager,Search filter,"As a user, I want to filter tickers by text.",Typing filters chips; empty categories hidden during search.,JS review,PASS,None,—,PASS
D3,Data Manager,Select all/none/category,"As a user, I want bulk selection controls.",Select All/Deselect All and per-category checkboxes update the selection + count.,JS review,PASS,None,—,PASS
D4,Data Manager,Batch fetch (SSE) + progress + log,"As a user, I want to download many tickers with live progress and a log.","POST /api/data-manager/fetch-batch streams SSE start/result/done events; progress bar, per-line log, summary; refreshes watchlist.",Endpoint + SSE contract review (downloads network-gated in env),PASS,None,—,PASS
