symbol,name,status
YHOO,Yahoo Inc,delisted
TWTR,Twitter Inc,delisted
LNKD,LinkedIn Corp,delisted
MON,Monsanto Company,delisted
DPS,Dr Pepper Snapple Group,delisted
TWX,Time Warner Inc,delisted
CBS,CBS Corporation,delisted
VIAB,Viacom Inc Class B,delisted
VIA,Viacom Inc Class A,delisted
DISCA,Discovery Inc Class A,delisted
DISCK,Discovery Inc Class C,delisted
SNI,Scripps Networks Interactive,delisted
TRCO,Tribune Media,delisted
STRZA,Starz Class A,delisted
CELG,Celgene Corp,delisted
AGN,Allergan plc,delisted
ALXN,Alexion Pharmaceuticals,delisted
MYL,Mylan NV,delisted
VRX,Valeant Pharmaceuticals International,delisted
FRX,Forest Laboratories,delisted
WYE,Wyeth,delisted
SGP,Schering-Plough Corp,delisted
GENZ,Genzyme Corp,delisted
EMC,EMC Corporation,delisted
VMW,VMware Inc,delisted
RHT,Red Hat Inc,delisted
CA,CA Technologies,delisted
SYMC,Symantec Corp,delisted
MFE,McAfee Inc,delisted
BRCM,Broadcom Corp,delisted
ALTR,Altera Corp,delisted
XLNX,Xilinx Inc,delisted
MXIM,Maxim Integrated Products,delisted
ATML,Atmel Corp,delisted
FCS,Fairchild Semiconductor International,delisted
IDTI,Integrated Device Technology,delisted
CY,Cypress Semiconductor,delisted
LLTC,Linear Technology Corp,delisted
NSM,National Semiconductor,delisted
LSI,LSI Corporation,delisted
SNDK,SanDisk Corp,delisted
PALM,Palm Inc,delisted
RIMM,Research In Motion,delisted
MOT,Motorola Inc,delisted
S,Sprint Corp,delisted
CTL,CenturyLink Inc,delisted
Q,Qwest Communications International,delisted
ATVI,Activision Blizzard,delisted
ZNGA,Zynga Inc,delisted
KING,King Digital Entertainment,delisted
GLUU,Glu Mobile,delisted
TIF,Tiffany & Co,delisted
COH,Coach Inc,delisted
KATE,Kate Spade & Company,delisted
JOSB,Jos A Bank Clothiers,delisted
ANN,ANN Inc,delisted
JCG,J Crew Group,delisted
DSW,DSW Inc,delisted
FINL,Finish Line,delisted
BONT,Bon-Ton Stores,delisted
SPLS,Staples Inc,delisted
OMX,OfficeMax Inc,delisted
RSH,RadioShack Corp,delisted
HOTT,Hot Topic,delisted
PIR,Pier 1 Imports,delisted
PNRA,Panera Bread Company,delisted
BOBE,Bob Evans Farms,delisted
SONC,Sonic Corp,delisted
BWLD,Buffalo Wild Wings,delisted
WFM,Whole Foods Market,delisted
SVU,Supervalu Inc,delisted
SWY,Safeway Inc,delisted
HNZ,H J Heinz Company,delisted
KRFT,Kraft Foods Group,delisted
SLE,Sara Lee Corp,delisted
DF,Dean Foods,delisted
LO,Lorillard Inc,delisted
RAI,Reynolds American,delisted
APC,Anadarko Petroleum,delisted
PXD,Pioneer Natural Resources,delisted
XEC,Cimarex Energy,delisted
CXO,Concho Resources,delisted
WPX,WPX Energy,delisted
NBL,Noble Energy,delisted
COG,Cabot Oil & Gas,delisted
QEP,QEP Resources,delisted
DNR,Denbury Resources,delisted
UPL,Ultra Petroleum,delisted
LINE,Linn Energy,delisted
WLT,Walter Energy,delisted
ANR,Alpha Natural Resources,delisted
JOY,Joy Global,delisted
ETP,Energy Transfer Partners,delisted
RSPP,RSP Permian,delisted
BBEP,BreitBurn Energy Partners,delisted
RTN,Raytheon Company,delisted
COL,Rockwell Collins,delisted
UTX,United Technologies Corp,delisted
PCP,Precision Castparts,delisted
GR,Goodrich Corp,delisted
LLL,L3 Technologies,delisted
HRS,Harris Corporation,delisted
ESL,Esterline Technologies,delisted
AKS,AK Steel Holding,delisted
BHI,Baker Hughes Incorporated,delisted
CAM,Cameron International,delisted
DRC,Dresser-Rand Group,delisted
EP,El Paso Corp,delisted
KMP,Kinder Morgan Energy Partners,delisted
EPB,El Paso Pipeline Partners,delisted
GAS,AGL Resources,delisted
PNY,Piedmont Natural Gas,delisted
TE,TECO Energy,delisted
POM,Pepco Holdings,delisted
GXP,Great Plains Energy,delisted
WR,Westar Energy,delisted
SCG,SCANA Corp,delisted
DYN,Dynegy Inc,delisted
CPN,Calpine Corp,delisted
BSC,Bear Stearns Companies,delisted
CFC,Countrywide Financial,delisted
LEHMQ,Lehman Brothers Holdings,delisted
WAMUQ,Washington Mutual Inc,delisted
ENRNQ,Enron Corp,delisted
WCOEQ,WorldCom Inc,delisted
MTLQQ,Motors Liquidation Co (old GM),delisted
NRTLQ,Nortel Networks Corp,delisted
CCTYQ,Circuit City Stores,delisted
BLIAQ,Blockbuster Inc,delisted
SHLDQ,Sears Holdings Corp,delisted
JCPNQ,J C Penney Company,delisted
GNCIQ,GNC Holdings,delisted
ASNAQ,Ascena Retail Group,delisted
HTZGQ,Hertz Global Holdings,delisted
WINMQ,Windstream Holdings,delisted
BBBYQ,Bed Bath & Beyond Inc,delisted
SIVBQ,SVB Financial Group,delisted
SBNY,Signature Bank,delisted
FRCB,First Republic Bank,delisted
RAD,Rite Aid Corp,delisted
DRYS,DryShips Inc,delisted
CS,Credit Suisse Group ADR,delisted
